院校代号,院校名,专业组号,再选科目要求(原文),subject_requirement,投档最低分,年份,首选(科类)
8327,燕京理工学院,01,不限,历史,487,2025,历史
8328,北京中医药大学东方学院,01,不限,历史,492,2025,历史
8329,沧州交通学院,01,不限,历史,494,2025,历史
8330,河北东方学院,01,不限,历史,516,2025,历史
8360,山西应用科技学院,01,不限,历史,495,2025,历史
8363,晋中信息学院,01,不限,历史,499,2025,历史
8364,山西晋中理工学院,01,不限,历史,495,2025,历史
8366,山西工商学院,01,不限,历史,506,2025,历史
8366,山西工商学院,02,不限,历史,501,2025,历史
8379,运城职业技术大学,01,不限,历史,499,2025,历史
8407,沈阳城市建设学院,01,不限,历史,489,2025,历史
8408,大连医科大学中山学院,01,不限,历史,489,2025,历史
8411,大连财经学院,01,不限,历史,496,2025,历史
8412,沈阳城市学院,01,不限,历史,486,2025,历史
8417,辽宁师范大学海华学院,01,不限,历史,499,2025,历史
8440,吉林外国语大学,01,不限,历史,488,2025,历史
8441,长春光华学院,01,不限,历史,490,2025,历史
8442,长春工业大学人文信息学院,01,不限,历史,491,2025,历史
8443,长春电子科技学院,01,不限,历史,501,2025,历史
8444,长春财经学院,01,不限,历史,494,2025,历史
8445,吉林建筑科技学院,01,不限,历史,492,2025,历史
8447,长春科技学院,01,不限,历史,490,2025,历史
8449,吉林师范大学博达学院,01,不限,历史,483,2025,历史
8449,吉林师范大学博达学院,02,不限,历史,484,2025,历史
8451,长春人文学院,01,不限,历史,490,2025,历史
8472,黑龙江财经学院,01,不限,历史,492,2025,历史
8473,哈尔滨石油学院,01,不限,历史,487,2025,历史
8474,哈尔滨广厦学院,01,不限,历史,491,2025,历史
8475,哈尔滨华德学院,01,不限,历史,484,2025,历史
8501,黄河科技学院,01,不限,历史,501,2025,历史
8502,郑州科技学院,01,不限,历史,516,2025,历史
8504,郑州财经学院,01,不限,历史,518,2025,历史
8508,郑州工商学院,01,不限,历史,504,2025,历史
8509,郑州经贸学院,01,不限,历史,501,2025,历史
8510,郑州商学院,01,不限,历史,511,2025,历史
8550,武汉东湖学院,01,不限,历史,494,2025,历史
8551,汉口学院,01,不限,历史,494,2025,历史
8552,武昌首义学院,01,不限,历史,497,2025,历史
8553,武昌理工学院,01,不限,历史,499,2025,历史
8554,武汉生物工程学院,01,不限,历史,498,2025,历史
8555,武汉晴川学院,01,不限,历史,495,2025,历史
8556,湖北大学知行学院,01,不限,历史,502,2025,历史
8557,武汉城市学院,01,不限,历史,497,2025,历史
8558,三峡大学科技学院,01,不限,历史,500,2025,历史
8559,湖北工业大学工程技术学院,01,不限,历史,497,2025,历史
8560,武汉工程大学邮电与信息工程学院,01,不限,历史,496,2025,历史
8561,武汉纺织大学外经贸学院,01,不限,历史,494,2025,历史
8562,武昌工学院,01,不限,历史,494,2025,历史
8563,武汉工商学院,01,不限,历史,498,2025,历史
8565,长江大学文理学院,01,不限,历史,504,2025,历史
8565,长江大学文理学院,02,不限,历史,514,2025,历史
8570,湖北经济学院法商学院,01,不限,历史,499,2025,历史
8571,武汉体育学院体育科技学院,01,不限,历史,490,2025,历史
8572,湖北文理学院理工学院,01,不限,历史,501,2025,历史
8572,湖北文理学院理工学院,02,不限,历史,500,2025,历史
8573,文华学院,01,不限,历史,496,2025,历史
8574,武汉工程科技学院,01,不限,历史,499,2025,历史
8575,武汉华夏理工学院,01,不限,历史,492,2025,历史
8576,武汉传媒学院,01,不限,历史,492,2025,历史
8577,武汉设计工程学院,01,不限,历史,493,2025,历史
8601,长沙医学院,01,不限,历史,492,2025,历史
8602,湖南涉外经济学院,01,不限,历史,490,2025,历史
8602,湖南涉外经济学院,02,不限,历史,488,2025,历史
8605,湖南科技大学潇湘学院,01,不限,历史,516,2025,历史
8606,南华大学船山学院,01,不限,历史,501,2025,历史
8607,湘潭理工学院,01,不限,历史,494,2025,历史
8608,湖南农业大学东方科技学院,01,不限,历史,497,2025,历史
8609,常德学院,01,不限,历史,508,2025,历史
8610,岳阳学院,01,不限,历史,496,2025,历史
8610,岳阳学院,02,思想政治,历史+思想政治,497,2025,历史
8613,张家界学院,01,不限,历史,491,2025,历史
8620,中南林业科技大学涉外学院,01,不限,历史,506,2025,历史
8640,广东白云学院,01,不限,历史,490,2025,历史
8643,广州城市理工学院,01,不限,历史,490,2025,历史
8645,广州南方学院,01,不限,历史,506,2025,历史
8646,广东外语外贸大学南国商学院,01,不限,历史,488,2025,历史
8650,珠海科技学院,01,不限,历史,509,2025,历史
8651,广州工商学院,01,不限,历史,489,2025,历史
8652,东莞城市学院,01,不限,历史,488,2025,历史
8659,华南农业大学珠江学院,01,不限,历史,482,2025,历史
8660,湛江科技学院,01,不限,历史,490,2025,历史
8664,广东工商职业技术大学,01,不限,历史,487,2025,历史
8665,广州新华学院,01,不限,历史,489,2025,历史
8668,广东理工学院,01,不限,历史,488,2025,历史
8710,南宁学院,01,不限,历史,500,2025,历史
8713,柳州工学院,01,不限,历史,486,2025,历史
8714,桂林学院,01,不限,历史,491,2025,历史
8717,南宁理工学院,01,不限,历史,483,2025,历史
8718,广西外国语学院,01,不限,历史,483,2025,历史
8740,海口经济学院,01,不限,历史,482,2025,历史
8741,三亚学院,01,不限,历史,488,2025,历史
8741,三亚学院,02,不限,历史,482,2025,历史
8741,三亚学院,04,不限,历史,487,2025,历史
8757,海南科技职业大学,01,不限,历史,483,2025,历史
8760,成都东软学院,01,不限,历史,497,2025,历史
